platform,comment_id,username,content,like_count,reply_count,create_time,ip_location
bilibili,284698557169,食用说明,"10.1~11.7晚自习随笔
Hook:
窗外的世界怎么 除了黑 就是灰
想要去反驳可是他们 说的话 就是对
是不是跳的足够高双 脚离地 就是飞
戴上耳机不 肯摘下 就只为 就只为  远离那些是非
Verse1:
没那么幸福也没那么可悲
装满人的地铁捎上我和我的疲惫
肿瘤医院A口天上只有无尽的黑
我不停的追
可书包压垮我的脊背
跑的慢
就连绿灯都是抓不住的机会

他们想着未来能在市五所过
反观我没梦想现在事无所获
积水里的影子怎么如此落魄
随着轮胎压过 他变得扭曲渐渐落寞

清醒的堕落才叫做失败
我忙碌的样子真有点失态
为曾经的那个好学生默哀
可现在这个样子是我活该

没怎么得到过信任和安慰
所以我习惯了自愈的快
收敛我的极端性格装自己很和蔼
真实的我活在伴奏活在自己的热爱
So in the night
惰性把我打倒 放空我的大脑
音乐提供镇静 放松我的神经
这时没人不识趣的按响我的门铃
So in the time
不需要再摆出礼貌态度
装作麻木其实我对什么都很在乎
常在河边走为他人把好心情摆渡
咽进肚子里的话却像是中药实在太苦
Hook:
窗外的世界怎么 除了黑 就是灰
想要去反",49,3,2025-12-28 14:33:16,
bilibili,284064929441,巳阳Rose,这是全开麦还是半开麦有垫音的，感觉不像全开麦,24,5,2025-12-21 21:29:10,
bilibili,284053167329,jfienhkjre,好像不太对啊，声音更大的那一轨跟原唱一点差别都没有，不会声音更小的那一轨是法老唱的，全程在给音频backup吧[doge],11,1,2025-12-21 19:27:52,
bilibili,284054733425,神奇的馒头阿,广州见！！！,5,4,2025-12-21 19:43:14,
bilibili,289433392032,QoooooQl,这首真的是权力的游戏的官方合作推广曲吗？,1,0,2026-01-23 19:16:19,
bilibili,284045304305,席吾,帅！我们需要更多官摄！,1,0,2025-12-21 18:07:12,
bilibili,286595413504,醉挽_清风_,不搞二番战你们风评还能比现在好不少，这路终究是你们自己选的嘛,0,4,2025-12-27 10:42:01,
bilibili,286073549072,顽家丨,为什么感觉法老唱的时候有两个声音，感觉是放原曲一样,0,1,2025-12-21 23:15:53,
bilibili,286057330384,dyzyfxfux,法老学会说唱没学会换气,0,0,2025-12-21 20:40:07,
bilibili,286048698272,永雏呴湿,气口在哪我请问了？,0,0,2025-12-21 19:15:37,
bilibili,284216550385,IcT0ry,k院长帅的 没有s杏舒服多了,0,0,2025-12-23 16:43:10,
bilibili,284150871601,我是范仲淹大王,法老为什么疑似cos琉雀还要在前奏加一堆hu雅[大哭][大哭][大哭],0,0,2025-12-22 20:40:25,
bilibili,284053331041,超级无敌贝利亚大王丶,26年还有哪里的巡演？,0,0,2025-12-21 19:29:33,
bilibili,284277131889,我最喜欢青龙撵月光,法哥，我帮你抓内奸了，我是你古早粉丝[无限暖暖_毛线汪汪]@法老爷爷 ，jar还有八贼以及小李又是asen粉，又是digi粉，快点斩于马下。,1,0,2025-12-24 09:23:04,
