platform,comment_id,username,content,like_count,reply_count,create_time,ip_location,sentiment
bilibili,286045088016,睡觉记得做梦,对的冬天听凛冬是对的,195,3,2025-12-21 18:39:24,,positive
bilibili,284047735713,小奚唱片,我还以为把hardcore老英雄都集结来了[doge]合着就k院长和法老俩[doge],106,2,2025-12-21 18:32:25,,neutral
bilibili,286041654112,铅笔喵喵呐,法老我喜欢你[Ave Mujica_愉快],76,4,2025-12-21 18:06:07,,positive
bilibili,286835263472,阿王无敌,年年都是你[大哭],64,1,2025-12-29 13:54:33,,negative
bilibili,284698557169,食用说明,"10.1~11.7晚自习随笔
Hook:
窗外的世界怎么 除了黑 就是灰
想要去反驳可是他们 说的话 就是对
是不是跳的足够高双 脚离地 就是飞
戴上耳机不 肯摘下 就只为 就只为  远离那些是非
Verse1:
没那么幸福也没那么可悲
装满人的地铁捎上我和我的疲惫
肿瘤医院A口天上只有无尽的黑
我不停的追
可书包压垮我的脊背
跑的慢
就连绿灯都是抓不住的机会

他们想着未来能在市五所过
反观我没梦想现在事无所获
积水里的影子怎么如此落魄
随着轮胎压过 他变得扭曲渐渐落寞

清醒的堕落才叫做失败
我忙碌的样子真有点失态
为曾经的那个好学生默哀
可现在这个样子是我活该

没怎么得到过信任和安慰
所以我习惯了自愈的快
收敛我的极端性格装自己很和蔼
真实的我活在伴奏活在自己的热爱
So in the night
惰性把我打倒 放空我的大脑
音乐提供镇静 放松我的神经
这时没人不识趣的按响我的门铃
So in the time
不需要再摆出礼貌态度
装作麻木其实我对什么都很在乎
常在河边走为他人把好心情摆渡
咽进肚子里的话却像是中药实在太苦
Hook:
窗外的世界怎么 除了黑 就是灰
想要去反",49,3,2025-12-28 14:33:16,,negative
bilibili,284064929441,巳阳Rose,这是全开麦还是半开麦有垫音的，感觉不像全开麦,24,5,2025-12-21 21:29:10,,neutral
bilibili,286043118304,見君常樂,台下观众这么淡定的吗,21,4,2025-12-21 18:21:04,,neutral
bilibili,286059672864,如慕戏,可以呼吸[doge_金箍],14,9,2025-12-21 21:03:42,,neutral
bilibili,285167647729,落可纳,法老爷爷你啥时候考虑和沙一汀EL合作啊？[大哭][大哭][大哭],11,1,2026-01-02 01:36:12,,positive
bilibili,284060231425,咖啡居士KingWise,法老是懂冬至的,11,0,2025-12-21 20:42:26,,positive
bilibili,284053167329,jfienhkjre,好像不太对啊，声音更大的那一轨跟原唱一点差别都没有，不会声音更小的那一轨是法老唱的，全程在给音频backup吧[doge],11,1,2025-12-21 19:27:52,,neutral
bilibili,286142594368,壳壳微卡,这好像是我印象中听的第一首rap，听的活死人版的，《春暖花开》,9,0,2025-12-22 18:59:43,,positive
bilibili,286042937008,陆港首帅,新编曲是对的[星星眼],6,0,2025-12-21 18:19:17,,positive
bilibili,286042007152,方方圆圆OwO,冬至快乐呀，正好朋友圈想转发这首歌呢。,6,0,2025-12-21 18:09:23,,positive
bilibili,284054733425,神奇的馒头阿,广州见！！！,5,4,2025-12-21 19:43:14,,positive
bilibili,286628515152,暖雪老弟还我存档,哥你的苦海无涯翻红了[大哭][大哭],4,0,2025-12-27 16:32:35,,positive
bilibili,284052657409,板檀,冬至就应该听凛冬将至,4,0,2025-12-21 19:21:52,,positive
bilibili,286274725600,粉色海豹王心宜,[25年度表情包_一][25年度表情包_起][25年度表情包_摸][25年度表情包_凹][25年度表情包_猫],3,1,2025-12-24 00:30:00,,neutral
bilibili,284234460577,柠七大王666,我会一直视奸你到你播魔兽世界的。👁️。,3,0,2025-12-23 20:03:50,,neutral
bilibili,284062128705,好焰焰焰,啥时候来西安[大哭][大哭][大哭],3,1,2025-12-21 21:00:51,,positive
bilibili,284056072753,傀儡师耀世,孙哥冬至快乐,3,0,2025-12-21 19:58:59,,positive
bilibili,286044813360,你们和他一起学,入坑曲[喜欢],2,0,2025-12-21 18:36:02,,positive
bilibili,284857461025,以归_Raline,气息封神了,2,0,2025-12-30 01:19:38,,positive
bilibili,284058944737,伊博QAQ,下一次巡演得等到什么时候，这次错过了[大哭],2,0,2025-12-21 20:28:19,,negative
bilibili,286064283008,小猪猪zJiE,下周六终于可以再见到k院长了~,3,3,2025-12-21 21:46:48,,positive
bilibili,289433392032,QoooooQl,这首真的是权力的游戏的官方合作推广曲吗？,1,0,2026-01-23 19:16:19,,neutral
bilibili,286197158864,橘柚zhen好吃,[25年度表情包_一][25年度表情包_起][25年度表情包_摸][25年度表情包_凹][25年度表情包_猫],1,0,2025-12-23 09:40:48,,neutral
